;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;3.0;1.0;-1.0;-1.0;;-1.0;2.0;;;;;;-1.0;1.0;;;-1.0;2.0;46.43;2.0;;2.0;;;0.0;4.0;;;0.0;-32.14;-32.14;;;;-35.71;-0.5;-0.5;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;0.0;;0.0;;;0.0;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;3.0;2.0;-1.0;-1.0;;-1.0;2.0;;;;;;-1.0;1.0;;;-1.0;1.0;63.33;2.0;;2.0;;;0.0;4.0;;;0.0;-16.67;-16.67;;;;-20.0;-0.28;-0.28;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;;;-0.0;;;;-0.0;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;2.0;1.0;-1.0;-1.0;;-1.0;2.0;;;;;;-1.0;1.0;;;-1.0;1.0;40.91;2.0;;2.0;;;0.0;4.0;;;0.0;-59.09;-63.64;;;;-63.64;-0.69;-0.69;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;;;-0.0;;;0.0;-0.0;;;1.0;-0.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;3.0;2.0;-0.0;-0.0;;-0.0;2.0;;;;;;-0.0;0.0;0.0;0.0;-0.0;1.0;54.84;2.0;;2.0;;;0.0;3.0;;;0.0;-3.23;-9.68;;;;-6.45;-0.11;-0.11;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;0.0;;;;;-0.0;;;-0.0;;;;0.0;0.0;;1.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;4.0;2.0;;-0.0;;;3.0;;;;;;0.0;-0.0;1.0;1.0;-0.0;2.0;56.41;2.0;;2.0;;;0.0;4.0;;;0.0;;-2.56;;;;;-0.01;-0.01;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;0.0;;;;-0.0;;;;;;0.0;;;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;4.0;3.0;0.0;-0.0;;-0.0;2.0;;;;;;-0.0;-0.0;0.0;0.0;-1.0;2.0;59.09;3.0;1.0;1.0;;;0.0;5.0;;;0.0;2.27;-6.82;0.0;;;-2.27;-0.06;-0.06;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;0.0;;;;;-0.0;;;-0.0;-0.0;;;;;;0.0;-0.0;;0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;5.0;3.0;0.0;;;;3.0;3.0;3.0;1.0;1.0;2.0;0.0;-0.0;;;0.0;2.0;63.27;3.0;2.0;1.0;1.0;;0.0;5.0;;;0.0;4.08;;0.0;;;;0.01;0.01;2.0;;2.0;;2.0;0.0;1.0;;1.0;;;;;;-0.0;1.0;;0.0;0.0;;;0.0;1.0;;;;1.0;;;;;-6.0;-1.0;9.0;3.0;;3.0;;;0.0;;;2.0;;0.0;;2.0;-2.0;-0.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;4.0;3.0;;-0.0;;-0.0;3.0;2.0;3.0;1.0;1.0;2.0;-0.0;-1.0;0.0;-1.0;-1.0;2.0;59.09;3.0;1.0;1.0;1.0;;0.0;5.0;;;0.0;;-2.27;;;;-2.27;-0.03;-0.03;2.0;;1.0;;1.0;0.0;1.0;0.0;1.0;;;;;;0.0;1.0;;0.0;0.0;;;0.0;1.0;;;-0.0;1.0;;;;;-6.0;-1.0;8.0;3.0;;3.0;;-0.0;0.0;;;-1.0;;;;1.0;0.0;-0.0;;;;-0.0;;;;;0.0;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;5.0;3.0;0.0;0.0;;0.0;3.0;2.0;3.0;1.0;1.0;2.0;0.0;-0.0;;;;2.0;63.04;3.0;1.0;1.0;1.0;;0.0;4.0;;;0.0;8.7;6.52;;;;6.52;0.11;0.1;2.0;;1.0;;1.0;1.0;1.0;;1.0;;;;;;0.0;1.0;;0.0;0.0;;;0.0;0.0;;;;0.0;;;;;-6.0;-1.0;9.0;3.0;;3.0;;0.0;0.0;;;0.0;;0.0;;2.0;-1.0;-0.0;;;;;;0.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;5.0;3.0;;;;-0.0;2.0;2.0;3.0;0.0;1.0;2.0;1.0;;-0.0;;1.0;2.0;57.78;3.0;1.0;2.0;2.0;;0.0;5.0;;;0.0;;;;;;-2.22;-0.04;-0.04;2.0;;2.0;;2.0;0.0;1.0;0.0;1.0;;;;;;0.0;1.0;;0.0;;;;0.0;1.0;;;;1.0;;;;;-6.0;-1.0;9.0;3.0;;3.0;;-0.0;0.0;;;0.0;;;;2.0;0.0;-0.0;;;;0.0;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
